"titulo","autor","path"
"La casa de los espiritus","Allende, Isabel","Users/halatm//Documents/Biblioteca de calibre//Allende, Isabel/La casa de los espiritus (129)"
"Las Mil y una Noches","Anonimo","Users/halatm//Documents/Biblioteca de calibre//Anonimo/Las Mil y una Noches (122)"
"2001. Una odisea espacial","Arthur C. Clarke","Users/halatm//Documents/Biblioteca de calibre//Arthur C. Clarke/2001. Una odisea espacial (120)"
"En las profundidades","Arthur C. Clarke","Users/halatm//Documents/Biblioteca de calibre//Arthur C. Clarke/En las profundidades (137)"
"El gran teatro del mundo","Biblioteca Virtual","Users/halatm//Documents/Biblioteca de calibre//Biblioteca Virtual/El gran teatro del mundo (119)"
"Factotum","Charles Bukowski","Users/halatm//Documents/Biblioteca de calibre//Charles Bukowski/Factotum (133)"
"Estado de miedo","Crichton, Michael","Users/halatm//Documents/Biblioteca de calibre//Crichton, Michael/Estado de miedo (135)"
"Hasta luego y gracias por el pescad","Douglas Adams","Users/halatm//Documents/Biblioteca de calibre//Douglas Adams/Hasta luego y gracias por el pescad (124)"
"Cincuenta sombras de Grey","E. L.James","Users/halatm//Documents/Biblioteca de calibre//E. L.James/Cincuenta sombras de Grey (134)"
"Prometeo encadenado","Esquilo","Users/halatm//Documents/Biblioteca de calibre//Esquilo/Prometeo encadenado (121)"
"El gran Gatsby","Francis Scott Fitzgerald","Users/halatm//Documents/Biblioteca de calibre//Francis Scott Fitzgerald/El gran Gatsby (123)"
"Cronica de una muerte anunciada","Gabriel Garcia Marquez","Users/halatm//Documents/Biblioteca de calibre//Gabriel Garcia Marquez/Cronica de una muerte anunciada (136)"
"Enciclopedia de las curiosidades_ E","Gregorio Doval","Users/halatm//Documents/Biblioteca de calibre//Gregorio Doval/Enciclopedia de las curiosidades_ E (132)"
"Y las montanas hablaron","Khaled Hosseini","Users/halatm//Documents/Biblioteca de calibre//Khaled Hosseini/Y las montanas hablaron (130)"
"Mujercitas","Louisa May Alcott","Users/halatm//Documents/Biblioteca de calibre//Louisa May Alcott/Mujercitas (118)"
"Memorias de un preso","Mario Conde","Users/halatm//Documents/Biblioteca de calibre//Mario Conde/Memorias de un preso (127)"
"Hacedor de estrellas","Olaf Stapledon","Users/halatm//Documents/Biblioteca de calibre//Olaf Stapledon/Hacedor de estrellas (131)"
"Camino al futuro","Peter Rinearson Bill Gates","Users/halatm//Documents/Biblioteca de calibre//Peter Rinearson Bill Gates/Camino al futuro (126)"
"Los juegos del hambre","Suzanne Collins","Users/halatm//Documents/Biblioteca de calibre//Suzanne Collins/Los juegos del hambre (138)"
"La esfinge de los hielos","Verne, Julio","Users/halatm//Documents/Biblioteca de calibre//Verne, Julio/La esfinge de los hielos (128)"
"El hombre en busca de sentido","Viktor Frankl","Users/halatm//Documents/Biblioteca de calibre//Viktor Frankl/El hombre en busca de sentido (125)"
