"titulo","autor","path"
"Mi lucha","Adolf Hitler","Users/halatm//Documents/Biblioteca de calibre//Adolf Hitler/Mi lucha (94)"
"La Araucana","Alonso de Ercilla Y Zuniga","Users/halatm//Documents/Biblioteca de calibre//Alonso de Ercilla Y Zuniga/La Araucana (107)"
"Sostiene Pereira","Antonio Tabucchi","Users/halatm//Documents/Biblioteca de calibre//Antonio Tabucchi/Sostiene Pereira (108)"
"La ley de Murphy","Arthur Bloch","Users/halatm//Documents/Biblioteca de calibre//Arthur Bloch/La ley de Murphy (100)"
"La divina comedia","Dante Alighieri","Users/halatm//Documents/Biblioteca de calibre//Dante Alighieri/La divina comedia (113)"
"Guia del Autoestopista Galactico","Douglas Adams","Users/halatm//Documents/Biblioteca de calibre//Douglas Adams/Guia del Autoestopista Galactico (96)"
"La casa de Bernarda Alba","Federico Garcia Lorca","Users/halatm//Documents/Biblioteca de calibre//Federico Garcia Lorca/La casa de Bernarda Alba (106)"
"El coronel no tiene quien le escrib","Gabriel Garcia Marquez","Users/halatm//Documents/Biblioteca de calibre//Gabriel Garcia Marquez/El coronel no tiene quien le escrib (116)"
"Los viajes de Tuf","George R. R. Martin","Users/halatm//Documents/Biblioteca de calibre//George R. R. Martin/Los viajes de Tuf (109)"
"Coplas a la muerte de su padre","Jorge Manrique","Users/halatm//Documents/Biblioteca de calibre//Jorge Manrique/Coplas a la muerte de su padre (102)"
"Ana Karenina","Leon Tolstoi","Users/halatm//Documents/Biblioteca de calibre//Leon Tolstoi/Ana Karenina (90)"
"El vaso de leche","Manuel Rojas","Users/halatm//Documents/Biblioteca de calibre//Manuel Rojas/El vaso de leche (104)"
"Frankenstein","Mary W. Shelley","Users/halatm//Documents/Biblioteca de calibre//Mary W. Shelley/Frankenstein (115)"
"La voz de los muertos (Saga de Ende","Orson Scott Card","Users/halatm//Documents/Biblioteca de calibre//Orson Scott Card/La voz de los muertos (Saga de Ende (103)"
"La Soledad de los numeros primos","Paolo Giordano","Users/halatm//Documents/Biblioteca de calibre//Paolo Giordano/La Soledad de los numeros primos (110)"
"Farenheit 451","Ray Bradbury","Users/halatm//Documents/Biblioteca de calibre//Ray Bradbury/Farenheit 451 (101)"
"Juan Salvador Gaviota","Richard Bach","Users/halatm//Documents/Biblioteca de calibre//Richard Bach/Juan Salvador Gaviota (114)"
"AGUJEROS NEGROS Y PEQUENOS UNIVERSO","Stephen Hawking","Users/halatm//Documents/Biblioteca de calibre//Stephen Hawking/AGUJEROS NEGROS Y PEQUENOS UNIVERSO (105)"
