"titulo","autor","path"
"Walden dos","B. F. Skinner","Users/halatm//Documents/Biblioteca de calibre//B. F. Skinner/Walden dos (25)"
"!Como molo!_ (otra de Manolito Gafot","Elvira Lindo","Users/halatm//Documents/Biblioteca de calibre//Elvira Lindo/!Como molo!_ (otra de Manolito Gafot (48)"
"Los trapos sucios","Elvira Lindo","Users/halatm//Documents/Biblioteca de calibre//Elvira Lindo/Los trapos sucios (46)"
"Manolito Gafotas","Elvira Lindo","Users/halatm//Documents/Biblioteca de calibre//Elvira Lindo/Manolito Gafotas (42)"
"Manolito on the road","Elvira Lindo","Users/halatm//Documents/Biblioteca de calibre//Elvira Lindo/Manolito on the road (44)"
"Pobre Manolito","Elvira Lindo","Users/halatm//Documents/Biblioteca de calibre//Elvira Lindo/Pobre Manolito (47)"
"Yo y el Imbecil","Elvira Lindo","Users/halatm//Documents/Biblioteca de calibre//Elvira Lindo/Yo y el Imbecil (45)"
"Historia de un canalla (Spanish Edit","Julia Navarro","Users/halatm//Documents/Biblioteca de calibre//Julia Navarro/Historia de un canalla (Spanish Edit (21)"
"Papelucho","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho (28)"
"Papelucho _Soy dix-leso_","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho _Soy dix-leso_ (43)"
"Papelucho Detective","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho Detective (37)"
"Papelucho en la clinica","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho en la clinica (36)"
"Papelucho en vacaciones","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho en vacaciones (35)"
"Papelucho Historiador","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho Historiador (34)"
"Papelucho perdido","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho perdido (40)"
"Papelucho soy dix-leso","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho soy dix-leso (30)"
"Papelucho soy dix-leso","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho soy dix-leso (38)"
"Papelucho y el marciano","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho y el marciano (39)"
"Papelucho y mi hermana Ji","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho y mi hermana Ji (27)"
"Papelucho. Mi hermana Ji","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho. Mi hermana Ji (41)"
