"titulo","autor","path"
"Las cruzadas vistas por los arabes","Amin Maalouf","Users/halatm//Documents/Biblioteca de calibre//Amin Maalouf/Las cruzadas vistas por los arabes (161)"
"Metafisica","Aristoteles","Users/halatm//Documents/Biblioteca de calibre//Aristoteles/Metafisica (146)"
"La Reina del Sur","Arturo Perez-Reverte","Users/halatm//Documents/Biblioteca de calibre//Arturo Perez-Reverte/La Reina del Sur (160)"
"Una breve historia de casi todo","Bill Bryson","Users/halatm//Documents/Biblioteca de calibre//Bill Bryson/Una breve historia de casi todo (141)"
"Los hermanos Karamazov","Fiodor Dostoyevski","Users/halatm//Documents/Biblioteca de calibre//Fiodor Dostoyevski/Los hermanos Karamazov (157)"
"1Q84","Haruki Murakami","Users/halatm//Documents/Biblioteca de calibre//Haruki Murakami/1Q84 (156)"
"El agente de las estrellas","John Scalzi","Users/halatm//Documents/Biblioteca de calibre//John Scalzi/El agente de las estrellas (151)"
"El visitante inesperado","John Scalzi","Users/halatm//Documents/Biblioteca de calibre//John Scalzi/El visitante inesperado (150)"
"La colonia perdida","John Scalzi","Users/halatm//Documents/Biblioteca de calibre//John Scalzi/La colonia perdida (153)"
"La historia de Zoe","John Scalzi","Users/halatm//Documents/Biblioteca de calibre//John Scalzi/La historia de Zoe (152)"
"La vieja guardia","John Scalzi","Users/halatm//Documents/Biblioteca de calibre//John Scalzi/La vieja guardia (154)"
"Redshirts","John Scalzi","Users/halatm//Documents/Biblioteca de calibre//John Scalzi/Redshirts (149)"
"A titulo de inventario","Mario Benedetti","Users/halatm//Documents/Biblioteca de calibre//Mario Benedetti/A titulo de inventario (148)"
"Roma, de los origenes a la ultima c","Michael Rostovtzeff","Users/halatm//Documents/Biblioteca de calibre//Michael Rostovtzeff/Roma, de los origenes a la ultima c (163)"
"Confieso que he vivido","Pablo Neruda","Users/halatm//Documents/Biblioteca de calibre//Pablo Neruda/Confieso que he vivido (162)"
"Suenan los androides con ovejas ele","Philip K. Dick","Users/halatm//Documents/Biblioteca de calibre//Philip K. Dick/Suenan los androides con ovejas ele (158)"
"El Gran Diseno","Stephen Hawking","Users/halatm//Documents/Biblioteca de calibre//Stephen Hawking/El Gran Diseno (140)"
"Los 7 habitos de la gente altamente","Stephen R. Covey","Users/halatm//Documents/Biblioteca de calibre//Stephen R. Covey/Los 7 habitos de la gente altamente (159)"
