"titulo","autor","path"
"Artemis","Andy Weir","Andy Weir/Artemis (93)"
"Ancillary Mercy","Ann Leckie","Ann Leckie/Ancillary Mercy (94)"
"Aftermath","Chuck Wendig","Chuck Wendig/Aftermath (104)"
"The Dark Forest","Cixin Liu","Cixin Liu/The Dark Forest (101)"
"BrainWeb","Douglas E. Richards","Douglas E. Richards/BrainWeb (109)"
"King of Thieves","Evan Currie","Evan Currie/King of Thieves (107)"
"Beacon 23 - The Complete Novel","Hugh Howey","Hugh Howey/Beacon 23 - The Complete Novel (110)"
"Nemesis Games","James S. A. Corey","James S. A. Corey/Nemesis Games (106)"
"Strands of Sorrow","John Ringo","John Ringo/Strands of Sorrow (102)"
"The End of All Things","John Scalzi","John Scalzi/The End of All Things (100)"
"Welcome to Night Vale","Joseph Fink","Joseph Fink/Welcome to Night Vale (95)"
"Warship","Joshua Dalzelle","Joshua Dalzelle/Warship (96)"
"Aurora","Kim Stanley Robinson","Kim Stanley Robinson/Aurora (111)"
"The Heart Goes Last","Margaret Atwood","Margaret Atwood/The Heart Goes Last (98)"
"Angles of Attack","Marko Kloos","Marko Kloos/Angles of Attack (103)"
"Seveneves","Neal Stephenson","Neal Stephenson/Seveneves (105)"
"The Water Knife","Paolo Bacigalupi","Paolo Bacigalupi/The Water Knife (97)"
"The Fold","Peter Clines","Peter Clines/The Fold (99)"
"Golden Son (The Red Rising Trilogy,","Pierce Brown","Pierce Brown/Golden Son (The Red Rising Trilogy, (108)"
"Apex","Ramez Naam","Ramez Naam/Apex (112)"
