"titulo","autor","path"
"El Conde de Montecristo","Alejandro Dumas","Users/halatm//Documents/Biblioteca de calibre//Alejandro Dumas/El Conde de Montecristo (74)"
"El cartero de Neruda","Antonio Skarmeta","Users/halatm//Documents/Biblioteca de calibre//Antonio Skarmeta/El cartero de Neruda (76)"
"La mujer del viajero en el tiempo","Audrey Niffenegger","Users/halatm//Documents/Biblioteca de calibre//Audrey Niffenegger/La mujer del viajero en el tiempo (84)"
"La carretera","Cormac McCarthy","Users/halatm//Documents/Biblioteca de calibre//Cormac McCarthy/La carretera (73)"
"Ready Player One","Ernest Cline","Users/halatm//Documents/Biblioteca de calibre//Ernest Cline/Ready Player One (70)"
"Fuenteovejuna","Felix Lope de Vega","Users/halatm//Documents/Biblioteca de calibre//Felix Lope de Vega/Fuenteovejuna (87)"
"Critica de la razon pura","Immanuel Kant","Users/halatm//Documents/Biblioteca de calibre//Immanuel Kant/Critica de la razon pura (86)"
"Bestiario","Julio Cortazar","Users/halatm//Documents/Biblioteca de calibre//Julio Cortazar/Bestiario (83)"
"Todos los fuegos el fuego","Julio Cortazar","Users/halatm//Documents/Biblioteca de calibre//Julio Cortazar/Todos los fuegos el fuego (78)"
"El perro del hortelano","Lope de Vega","Users/halatm//Documents/Biblioteca de calibre//Lope de Vega/El perro del hortelano (69)"
"La tregua","Mario Benedetti","Users/halatm//Documents/Biblioteca de calibre//Mario Benedetti/La tregua (72)"
"Pantaleon y las visitadoras","Mario Vargas Llosa","Users/halatm//Documents/Biblioteca de calibre//Mario Vargas Llosa/Pantaleon y las visitadoras (85)"
"Tartufo","Moliere","Users/halatm//Documents/Biblioteca de calibre//Moliere/Tartufo (77)"
"La romana","Moravia, Alberto","Users/halatm//Documents/Biblioteca de calibre//Moravia, Alberto/La romana (71)"
"Out","Natsuo Kirino","Users/halatm//Documents/Biblioteca de calibre//Natsuo Kirino/Out (75)"
"La vida es sueno (Los mejores clasic","Pedro Calderon de La Barca","Users/halatm//Documents/Biblioteca de calibre//Pedro Calderon de La Barca/La vida es sueno (Los mejores clasic (68)"
"Freakonomics","Stephen Dubner Steven Levitt","Users/halatm//Documents/Biblioteca de calibre//Stephen Dubner Steven Levitt/Freakonomics (82)"
"SuperFreakonomics","Steven D. Levitt","Users/halatm//Documents/Biblioteca de calibre//Steven D. Levitt/SuperFreakonomics (79)"
"La montana magica","Thomas Mann","Users/halatm//Documents/Biblioteca de calibre//Thomas Mann/La montana magica (80)"
