"titulo","autor","path"
"Diario de Ana Frank","Ana Frank","Users/halatm//Documents/Biblioteca de calibre//Ana Frank/Diario de Ana Frank (175)"
"La forma del agua","Andrea Camilleri","Users/halatm//Documents/Biblioteca de calibre//Andrea Camilleri/La forma del agua (169)"
"Cantar del Mio Cid","Anonimo","Users/halatm//Documents/Biblioteca de calibre//Anonimo/Cantar del Mio Cid (144)"
"La vida de Lazarillo de Tormes","Anonimo","Users/halatm//Documents/Biblioteca de calibre//Anonimo/La vida de Lazarillo de Tormes (142)"
"El Principito","Antoine de Saint-Exupery","Users/halatm//Documents/Biblioteca de calibre//Antoine de Saint-Exupery/El Principito (186)"
"Las brujas de Salem","Arthur Miller","Users/halatm//Documents/Biblioteca de calibre//Arthur Miller/Las brujas de Salem (167)"
"Anton Chejov - Los campesinos","Biblioteca Virtual","Users/halatm//Documents/Biblioteca de calibre//Biblioteca Virtual/Anton Chejov - Los campesinos (166)"
"Cosmos","Carl Sagan","Users/halatm//Documents/Biblioteca de calibre//Carl Sagan/Cosmos (168)"
"Historia de dos ciudades","Charles Dickens","Users/halatm//Documents/Biblioteca de calibre//Charles Dickens/Historia de dos ciudades (143)"
"El ascenso de Endymion","Dan Simmons","Users/halatm//Documents/Biblioteca de calibre//Dan Simmons/El ascenso de Endymion (180)"
"Huerfanos de la Helice","Dan Simmons","Users/halatm//Documents/Biblioteca de calibre//Dan Simmons/Huerfanos de la Helice (179)"
"El desierto de los tartaros","Dino Buzzati","Users/halatm//Documents/Biblioteca de calibre//Dino Buzzati/El desierto de los tartaros (185)"
"Ami, el nino de las estrellas","Enrique Barrios","Users/halatm//Documents/Biblioteca de calibre//Enrique Barrios/Ami, el nino de las estrellas (176)"
"La cantante calva","Eugene Ionesco","Users/halatm//Documents/Biblioteca de calibre//Eugene Ionesco/La cantante calva (170)"
"Cien anos de soledad","Garcia Marquez, Gabriel","Users/halatm//Documents/Biblioteca de calibre//Garcia Marquez, Gabriel/Cien anos de soledad (178)"
"De que hablo cuando hablo de correr","Haruki Murakami","Users/halatm//Documents/Biblioteca de calibre//Haruki Murakami/De que hablo cuando hablo de correr (174)"
"Cuentos de Eva Luna","Isabel Allende","Users/halatm//Documents/Biblioteca de calibre//Isabel Allende/Cuentos de Eva Luna (184)"
"Corazon tan blanco _ A Heart So Whit","Javier Marias","Users/halatm//Documents/Biblioteca de calibre//Javier Marias/Corazon tan blanco _ A Heart So Whit (49)"
"Hijo de ladron","Manuel Rojas","Users/halatm//Documents/Biblioteca de calibre//Manuel Rojas/Hijo de ladron (182)"
"Papelucho historiador","Marcela Paz","Users/halatm//Documents/Biblioteca de calibre//Marcela Paz/Papelucho historiador (177)"
"El cuento de la criada","Margaret Atwood","Users/halatm//Documents/Biblioteca de calibre//Margaret Atwood/El cuento de la criada (183)"
"El baston runico","Michael Moorcock","Users/halatm//Documents/Biblioteca de calibre//Michael Moorcock/El baston runico (173)"
"El caballero de las espadas","Michael Moorcock","Users/halatm//Documents/Biblioteca de calibre//Michael Moorcock/El caballero de las espadas (172)"
"El dragon en la espada","Michael Moorcock","Users/halatm//Documents/Biblioteca de calibre//Michael Moorcock/El dragon en la espada (171)"
"Edipo Rey","Sofocles","Users/halatm//Documents/Biblioteca de calibre//Sofocles/Edipo Rey (145)"
"La tabla rasa","Steven Pinker","Users/halatm//Documents/Biblioteca de calibre//Steven Pinker/La tabla rasa (181)"
"El planeta americano","Vicente Verdu","Users/halatm//Documents/Biblioteca de calibre//Vicente Verdu/El planeta americano (89)"
"Homo Deus","Yuval Noah Harari","Users/halatm//Documents/Biblioteca de calibre//Yuval Noah Harari/Homo Deus (88)"
